,delay,k_scale,sd,NRMSE,median,R1
228,3.0,0.6,0.2236,0.8296451766347164,-0.2185515160808907,0.9999723288938549
229,3.0,0.6,0.3684,0.8226265263178181,-0.028076632367864493,0.9999385103614628
230,3.0,0.6,0.607,0.8335603152723339,0.2870963675139621,0.9997915753053043
231,3.0,0.6,1.0,0.8416997440204147,-0.157844949870746,0.9994513931125253
232,3.0,0.7,0.0,0.8058492766426895,-0.37799960852886205,0.9999999897674778
233,3.0,0.7,0.05,0.8015317493184216,-0.058326512920499285,0.9999990004895929
234,3.0,0.7,0.0824,0.8040402560573646,0.09779439624607535,0.9999977268003397
235,3.0,0.7,0.1357,0.8063267427625945,-0.33885100835810966,0.999992254558117
236,3.0,0.7,0.2236,0.7998619325125421,-0.05714312515775226,0.9999795471446787
237,3.0,0.7,0.3684,0.8090528781045027,-0.42408111344455734,0.9999530188617358
238,3.0,0.7,0.607,0.8075046259549127,-0.25457463375743034,0.999854507938896
239,3.0,0.7,1.0,0.8070907997708631,-0.42694939330207576,0.9995916990162383
240,3.0,0.8,0.0,0.7789508836611188,-0.35110592148134223,0.9999999901740705
241,3.0,0.8,0.05,0.7853081727022255,0.030146890387350578,0.9999992051604321
242,3.0,0.8,0.0824,0.7864952265224476,-0.22656226273465513,0.9999983144297164
243,3.0,0.8,0.1357,0.783768030598872,-0.40257631246569003,0.999993534780782
244,3.0,0.8,0.2236,0.7888052770747302,0.1010949977376746,0.9999842297368092
245,3.0,0.8,0.3684,0.7871213044892342,-0.1748318808437218,0.9999632514253346
246,3.0,0.8,0.607,0.787696464994142,0.0604216635670044,0.9998859690026365
247,3.0,0.8,1.0,0.7879263892563351,-0.26033419046123313,0.9996784411504301
248,3.0,0.9,0.0,0.7739424211990199,-0.2105497515774617,0.9999999928497761
249,3.0,0.9,0.05,0.7737554698554764,-0.28136419278027114,0.9999993357047431
250,3.0,0.9,0.0824,0.7735465947585067,-0.00989020669127666,0.9999986971503831
251,3.0,0.9,0.1357,0.7767180257892116,-0.1151238270967732,0.9999953480644459
252,3.0,0.9,0.2236,0.7705054982100744,-0.2889966432723853,0.9999877983650504
253,3.0,0.9,0.3684,0.7738301335474239,0.21693193398782679,0.9999708151302393
254,3.0,0.9,0.607,0.7754847718688395,0.19179827187433032,0.9999128970006389
255,3.0,0.9,1.0,0.7757447259106489,-0.008781014371641659,0.9997446454026083
256,3.0,1.0,0.0,0.7695491976936963,-0.0632197741809053,0.9999999917411821
257,3.0,1.0,0.05,0.769849986508578,0.09714799933463325,0.9999994618294676
258,3.0,1.0,0.0824,0.7696615823878951,0.13623181615594393,0.9999989527574716
259,3.0,1.0,0.1357,0.7705674084167213,-0.08002364992401617,0.9999962217640409
260,3.0,1.0,0.2236,0.7701328213884433,0.00248432351418848,0.999989740008663
261,3.0,1.0,0.3684,0.7699508863717469,0.014735623487932614,0.9999769990904288
262,3.0,1.0,0.607,0.770546189928465,0.05409929544163447,0.9999293364932651
263,3.0,1.0,1.0,0.7696959796063856,0.05551458251578795,0.999796524820772
264,4.0,0.0,0.0,1.0109061247914772,0.00012082498275703755,0.07621654004209345
265,4.0,0.0,0.05,1.0109124843656783,0.00011380001057610042,0.1026969294708867
266,4.0,0.0,0.0824,1.0109123025310653,0.0001071290793967562,0.11174750128376297
267,4.0,0.0,0.1357,1.010918721154196,7.806796827005842e-05,0.08981441233999182
268,4.0,0.0,0.2236,1.0109158412997037,4.4159713804117094e-05,0.10406515461499377
269,4.0,0.0,0.3684,1.0109237035610235,2.4671634263053294e-05,0.03819067065777759
270,4.0,0.0,0.607,1.010955057192058,4.578965050229395e-06,0.07851489280894125
271,4.0,0.0,1.0,1.0111176016112344,3.6054000218070773e-06,0.16773670996693635
272,4.0,0.1,0.0,0.9434514716657192,-0.04351628240972613,0.9999999930151383
273,4.0,0.1,0.05,0.9421738168364123,0.15556373397308698,0.9999464281898257
274,4.0,0.1,0.0824,0.9428051395803361,0.031184882459607155,0.9998906665038911
